cnpj_basico;cnpj;bairro;nome_fantasia;id_municipio;cep;cidade;sigla_uf;centroide;bairro
17256512;1,72565E+13;APARECIDA;;3106200;31230250;Belo Horizonte;MG;POINT(-43.9568859 -19.8906144);Aparecida
17256512;1,72565E+13;BELVEDERE;;3106200;30320570;Belo Horizonte;MG;POINT(-43.9415064 -19.9745748);Belvedere
17256512;1,72565E+13;RESSACA;;3118601;32110005;Contagem;MG;POINT(-44.0379291 -19.8877746);#N/D
17256512;1,72565E+13;RIACHO DAS PEDRAS;;3118601;32280480;Contagem;MG;POINT(-44.0613449 -19.9482351);#N/D
17256512;1,72565E+13;OURO PRETO;;3106200;31310240;Belo Horizonte;MG;POINT(-43.9791652 -19.8718669);Ouro Preto
17256512;1,72565E+13;CENTRO;;3106705;32600110;Betim;MG;POINT(-44.2005304 -19.9686963);Centro
17256512;1,72565E+13;LOURDES;;3106200;30140092;Belo Horizonte;MG;POINT(-43.9404201 -19.9304091);Lourdes
17256512;1,72565E+13;SAVASSI;;3106200;30130012;Belo Horizonte;MG;POINT(-43.9291578 -19.9344976);Savassi
17256512;1,72565E+13;RIACHO DAS PEDRAS;;3118601;32280070;Contagem;MG;POINT(-44.0528147 -19.9469162);#N/D
17256512;1,72565E+13;SERRA;;3106200;30110018;Belo Horizonte;MG;POINT(-43.9464643 -19.9177246);Serra
17256512;1,72565E+13;CENTRO;;3109006;35460000;Brumadinho;MG;POINT(-44.2010719 -20.1514752);Centro
17256512;1,72565E+13;CENTRO;;3106200;30190006;Belo Horizonte;MG;POINT(-43.9464224 -19.9223726);Centro
17256512;1,72565E+13;SAGRADA FAMILIA;;3106200;31030370;Belo Horizonte;MG;POINT(-43.9194517 -19.903491);Sagrada FamIlia
17256512;1,72565E+13;SANTA AMELIA;;3106200;31560300;Belo Horizonte;MG;POINT(-43.9773614 -19.8389389);Santa Amelia
17256512;1,72565E+13;CENTRO;;3118601;32040632;Contagem;MG;POINT(-44.0810532 -19.9227509);Centro
17256512;1,72565E+13;SANTA CRUZ;;3106705;32667380;Betim;MG;POINT(-44.137943 -19.9612599);#N/D
17256512;1,72565E+13;SANTA EFIGENIA;;3106200;30150300;Belo Horizonte;MG;POINT(-43.9269889 -19.9245278);Santa Efigenia
17256512;1,72565E+13;SANTA EFIGENIA;;3106200;30130140;Belo Horizonte;MG;POINT(-43.9313937 -19.928094);Santa Efigenia
17256512;1,72565E+13;SANTA EFIGENIA;;3106200;30140000;Belo Horizonte;MG;POINT(-43.9264378 -19.9268015);Santa Efigenia
17256512;1,72565E+13;COMITECO;;3106200;30130050;Belo Horizonte;MG;POINT(-43.9199956 -19.949334);Comiteco
17256512;1,72565E+13;SANTA EFIGENIA;;3106200;30260270;Belo Horizonte;MG;POINT(-43.9097039 -19.9239501);Santa Efigenia
